Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J4","HEADER_2x01_PARALLEL","Straight_2x01",171.7040,-105.7840,0.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",171.7040,-103.2440,0.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",171.7040,-100.7040,0.0000,top
"J8","HEADER_2x01_PARALLEL","Straight_2x01",171.7040,-108.3240,0.0000,top
"J9","HEADER_2x01_PARALLEL","Straight_2x01",171.7040,-110.8640,0.0000,top
"U1","MICROFC-60035-SMT-TR(1)","MicroFC−60035−SMT",122.8160,-105.7840,0.0000,top
